filename,hmean,precision,recall,gt_regions,pred_regions
drp.en_ko.in_house.selectstar_003172.jpg,0.9774476289749146,0.98740154504776,0.9676923155784607,141,138
drp.en_ko.in_house.selectstar_001574.jpg,0.9778491258621216,0.9892933368682861,0.9666666388511658,92,88
drp.en_ko.in_house.selectstar_002732.jpg,0.9779559373855591,0.9638854265213013,0.992443323135376,177,165
drp.en_ko.in_house.selectstar_000597.jpg,0.9780139923095703,0.9732824563980103,0.9827916026115417,156,149
drp.en_ko.in_house.selectstar_000064.jpg,0.9782969355583191,0.9984227418899536,0.9589665532112122,106,105
drp.en_ko.in_house.selectstar_003004.jpg,0.979047417640686,0.9958419799804688,0.9628099203109741,81,94
drp.en_ko.in_house.selectstar_003581.jpg,0.9792471528053284,0.9740932583808899,0.984455943107605,101,97
drp.en_ko.in_house.selectstar_001427.jpg,0.9793514609336853,0.9640287756919861,0.9951691031455994,92,82
drp.en_ko.in_house.selectstar_002731.jpg,0.9794154763221741,0.9683257937431335,0.9907621145248413,92,96
drp.en_ko.in_house.selectstar_001903.jpg,0.9795523881912231,0.9865853786468506,0.9726190567016602,186,173
drp.en_ko.in_house.selectstar_001793.jpg,0.9798299670219421,0.974452555179596,0.9852670431137085,100,103
drp.en_ko.in_house.selectstar_003241.jpg,0.9798450469970703,0.9753086566925049,0.9844236969947815,76,76
drp.en_ko.in_house.selectstar_003180.jpg,0.9801225662231445,0.9742063283920288,0.9861111044883728,76,74
drp.en_ko.in_house.selectstar_000318.jpg,0.9802850484848022,0.9833159446716309,0.9772727489471436,142,142
drp.en_ko.in_house.selectstar_003386.jpg,0.9806723594665527,0.9676945805549622,0.9940029978752136,103,99
drp.en_ko.in_house.selectstar_002202.jpg,0.9808511137962341,1.0,0.962421715259552,101,101
drp.en_ko.in_house.selectstar_002610.jpg,0.9811906218528748,0.9738562107086182,0.9886363744735718,149,136
drp.en_ko.in_house.selectstar_001281.jpg,0.9814853072166443,0.9749631881713867,0.988095223903656,123,124
drp.en_ko.in_house.selectstar_002269.jpg,0.9814897775650024,0.977750301361084,0.9852579832077026,165,153
drp.en_ko.in_house.selectstar_000288.jpg,0.9816243052482605,0.9709784388542175,0.9925062656402588,226,205
drp.en_ko.in_house.selectstar_000488.jpg,0.9816513061523438,0.9697884917259216,0.9938080310821533,77,77
drp.en_ko.in_house.selectstar_001375.jpg,0.9819106459617615,0.9792208075523376,0.9846153855323792,146,131
drp.en_ko.in_house.selectstar_001822.jpg,0.9819179773330688,0.9803328514099121,0.9835082292556763,151,142
drp.en_ko.in_house.selectstar_001526.jpg,0.9820359349250793,0.980079710483551,0.984000027179718,73,73
drp.en_ko.in_house.selectstar_003038.jpg,0.9821942448616028,0.9723076820373535,0.9922839403152466,136,125
drp.en_ko.in_house.selectstar_003086.jpg,0.9823874831199646,0.9653846025466919,1.0,100,84
drp.en_ko.in_house.selectstar_001581.jpg,0.9826710224151611,0.9674796462059021,0.9983471035957336,108,102
drp.en_ko.in_house.selectstar_002663.jpg,0.9828824996948242,0.9867374300956726,0.9790576100349426,154,149
drp.en_ko.in_house.selectstar_000925.jpg,0.9830641150474548,0.9814241528511047,0.9847095012664795,155,145
drp.en_ko.in_house.selectstar_001000.jpg,0.9831081032752991,0.978151261806488,0.9881154298782349,71,71
drp.en_ko.in_house.selectstar_003576.jpg,0.9831251502037048,0.989830493927002,0.9765100479125977,132,135
drp.en_ko.in_house.selectstar_002530.jpg,0.9831703305244446,0.9812734127044678,0.9850746393203735,123,119
drp.en_ko.in_house.selectstar_002966.jpg,0.9831924438476562,0.9819121360778809,0.9844760894775391,114,113
drp.en_ko.in_house.selectstar_003377.jpg,0.9833585619926453,0.9672619104385376,1.0,81,82
drp.en_ko.in_house.selectstar_002677.jpg,0.9834848046302795,0.9865671396255493,0.9804216623306274,91,107
drp.en_ko.in_house.selectstar_002954.jpg,0.9835575819015503,0.9676470756530762,1.0,146,124
drp.en_ko.in_house.selectstar_002067.jpg,0.9835865497589111,0.9694244861602783,0.9981684684753418,112,110
drp.en_ko.in_house.selectstar_003913.jpg,0.9837179780006409,0.990755021572113,0.9767801761627197,96,109
drp.en_ko.in_house.selectstar_003613.jpg,0.9838745594024658,0.9946714043617249,0.9733096361160278,101,114
drp.en_ko.in_house.selectstar_002914.jpg,0.9839486479759216,0.9684044122695923,1.0,107,87
drp.en_ko.in_house.selectstar_001139.jpg,0.9840635061264038,0.9762375950813293,0.9920159578323364,127,123
drp.en_ko.in_house.selectstar_002370.jpg,0.9841859936714172,0.9809523820877075,0.9874411225318909,146,134
drp.en_ko.in_house.selectstar_001790.jpg,0.9842077493667603,0.977477490901947,0.9910314083099365,104,96
drp.en_ko.in_house.selectstar_001256.jpg,0.9842519760131836,0.9881423115730286,0.9803921580314636,88,89
drp.en_ko.in_house.selectstar_002528.jpg,0.9842570424079895,0.9834162592887878,0.9850993156433105,136,134
drp.en_ko.in_house.selectstar_002713.jpg,0.9846373796463013,0.9752380847930908,0.9942196607589722,96,92
drp.en_ko.in_house.selectstar_003949.jpg,0.984687864780426,1.0,0.9698376059532166,84,83
drp.en_ko.in_house.selectstar_000284.jpg,0.9847860932350159,0.9923273921012878,0.9773585200309753,110,110
